Year,Month,Day, Days,Week, Customer, Driver ,Car Type,Pickup Location,Destination,Fare(NZD)
2022,6,14,10,10,test6,Not assigned,Taxi(4 people),Tokyo,Shibuya,111.11,
2022,6,14,10,10,test5,Not assigned,Premium Van(6 people),tokyo,kanda,111.11,
2022,6,14,10,10,test3,Not assigned,Premium Van(6 people),tokyo,shibuya,111.11,
2022,6,14,10,10,test1,Not assigned,Taxi(4 people),tokyo,ike,111.11,
2022,6,15,10,10,test2,Not assigned,Taxi(4 people),tokyo,yokohama,111.11,
2022,6,15,10,10,test1,Not assigned,Taxi(4 people),tokyo,ropponngi,111.11,
2022,6,15,10,10,test7,Not assigned,Premium Van(6 people),tokyo,marunouchi,111.11,
2022,6,15,10,10,test2,Not assigned,Van(5 people),tokyo,ginza,111.11,
2022,6,15,10,10,guest1,Not assigned,Taxi(4 people),tokyo,odaiba,111.11,
2022,6,15,166,10,test4,Not assigned,Taxi(4 people),tokyo,chiyoda,111.11,
2022,6,15,166,24,test6,Not assigned,Premium Van(6 people),tokyo,ikebukuro,111.11,
2022,6,25,176,26,test6,Not assigned,Premium Van(6 people),tokyo,shinjuku,111.11,
2022,6,26,177,26,test1,Not assigned,Van(5 people),tokyo,akasaka,111.11,
2022,6,15,166,24,test4,Not assigned,Van(5 people),tokyo,yokohama,111.11,
2022,6,15,166,24,test4,Not assigned,Taxi(4 people),tokyo,akiba,111.11,
